facility_id,name,country_iso3,country,location,lat_lon,type,status,lithium_form,coproducts_byproducts,companies,evidence_tier,source_file
uga-wampero-mine-fac,Wampero Mine,UGA,Uganda,Uganda,"0.5000, 32.1667",mine,operating,Lithium,Niobium; Tantalum; Tin,3T Mining Ltd. (operator),A,facilities/UGA/uga-wampero-mine-fac.json
ukr-dobra-lithium-deposit-fac,Dobra Lithium Mine,UKR,Ukraine,"Kirovohrad, Ukraine","48.3500, 31.0530",mine,unknown,Lithium,,European Lithium; TechMet; UkrLithiumMining,A,facilities/UKR/ukr-dobra-lithium-deposit-fac.json
ukr-kruta-balka-lithium-deposit-fac,Kruta Balka Lithium Mine,UKR,Ukraine,"Zaporizhzhia Oblast, Ukraine","46.9720, 36.8080",mine,unknown,Lithium,,European Lithium,A,facilities/UKR/ukr-kruta-balka-lithium-deposit-fac.json
ukr-polokhivske-lithium-deposit-fac,Polokhivske Lithium Mine,UKR,Ukraine,"Kirovohrad, Ukraine","48.6000, 31.8000",mine,unknown,Lithium,,UkrLithiumMining LLC (ULM),A,facilities/UKR/ukr-polokhivske-lithium-deposit-fac.json
ukr-shevchenkivske-lithium-deposit-fac,Shevchenkivske Lithium Mine,UKR,Ukraine,"Donetsk Oblast, Ukraine","47.9090, 36.7130",mine,unknown,Lithium,,European Lithium; Millstone & Co.; Petro Consulting LLC,A,facilities/UKR/ukr-shevchenkivske-lithium-deposit-fac.json
usa-buckhorn-mica-mine-fac,Buckhorn Mica Mine,USA,United States,"Washington, United States","48.7492, -119.4931",mine,unknown,Lithium,,Crown Resources-Kettle River Operations; Kinross Gold Corp,A,facilities/USA/usa-buckhorn-mica-mine-fac.json
usa-cadiz-dry-lake-fac,Cadiz Dry Lake Mine,USA,United States,"California, United States","34.2870, -115.3880",mine,unknown,Lithium,,"Delta Chemical Co.; Hill Brothers Chemical Co.; Lee Chemical Co.; Standard Lithium Ltd.; Tetra Technologies, Inc.",A,facilities/USA/usa-cadiz-dry-lake-fac.json
usa-carolina-fac,Carolina Mine,USA,United States,"South Carolina, United States","35.3900, -81.2980",mine,unknown,Lithium,,OceanaGold Corporation,A,facilities/USA/usa-carolina-fac.json
usa-cojade-mine-fac,Cojade Mine,USA,United States,United States,"40.3550, -105.2930",mine,unknown,Lithium,,,A,facilities/USA/usa-cojade-mine-fac.json
usa-foote-lithium-brine-operation-fac,Foote Lithium Brine Mine,USA,United States,"Nevada, United States","37.7670, -117.5850","mine, plant",unknown,Lithium,,Albemarle Corporation; Foote Mineral Company,A,facilities/USA/usa-foote-lithium-brine-operation-fac.json
usa-foote-mineral-reclamation-mill-fac,Foote Mineral Reclamation Mine,USA,United States,"North Carolina, United States","35.2170, -81.3530","mine, plant",unknown,Lithium,,Berry Brothers Incorporated,A,facilities/USA/usa-foote-mineral-reclamation-mill-fac.json
usa-hallman-beam-mine-fac,Hallman Beam Mine,USA,United States,"Mount Holly, North Carolina, United States","39.9389, -74.7877",mine,unknown,Lithium,,FMC Corporation; Lithium Corporation of America,A,facilities/USA/usa-hallman-beam-mine-fac.json
usa-huffman-bean-mine-fac,Huffman Bean Mine,USA,United States,United States,"35.3390, -81.3160",mine,unknown,Lithium,,,A,facilities/USA/usa-huffman-bean-mine-fac.json
usa-morabisi-project-fac,Morabisi Exploration,USA,United States,"Georgetown, Guyana, United States","39.0215, -88.8597",plant,unknown,Lithium,Tantalum,Greenpower Energy; Greenpower Energy Ltd; Guyana Strategic Metals Inc.,A,facilities/USA/usa-morabisi-project-fac.json
usa-north-morning-star-mine-fac,North Morning Star Mine,USA,United States,United States,"33.9560, -112.5720",mine,unknown,Lithium,,,A,facilities/USA/usa-north-morning-star-mine-fac.json
usa-norwich-lithia-mine-fac,Norwich Lithia Mine,USA,United States,United States,"42.3190, -72.8620",mine,unknown,Lithium,,,A,facilities/USA/usa-norwich-lithia-mine-fac.json
usa-preston-hanford-sand-and-gravel-fac,Preston Hanford Sand And Gravel Mine,USA,United States,"California, United States","38.4082, -121.3712",mine,unknown,Lithium,,"Hanford Sand & Gravel, Inc.",A,facilities/USA/usa-preston-hanford-sand-and-gravel-fac.json
usa-ree-lithium-cobalt-fac,REE / Lithium / Cobalt Facility,USA,United States,"Idaho, United States","45.1392, -114.3519",plant,unknown,Lithium,Cobalt; Neodymium-praseodymium (NdPr); Rare earths,Ecobalt Solutions; Jervois Global,A,facilities/USA/usa-ree-lithium-cobalt-fac.json
